"","Reporting.Year","Reporting.Quarter","Reporting.Organization","Certified.Type","County","Certified.Capacity","Operational.Capacity","Beginning.Census","End.Census","Male.Census","Female.Census"
"1050",2018,3,"Troy Adult Home","F","Rensselaer",33,33,26,25,19,6
"1051",2018,3,"Underwood Manor","F","Cattaraugus",32,32,31,30,10,20
"1052",2018,3,"Updykes Willow Ridge Quality Care Facility","F","Steuben",40,40,38,38,10,28
"1053",2018,3,"Valehaven Home for Adults","F","Clinton",40,40,37,36,16,20
"1054",2018,3,"Valley Residential Services, Inc","S","Herkimer",48,48,44,47,8,39
"1055",2018,3,"Valley Vista Adult Home and Assisted Living Program","F","Ulster",89,89,81,79,26,53
"1056",2018,3,"Vassar-Warner Home","E","Dutchess",58,58,33,33,7,26
"1057",2018,3,"Village Care at 46 and Ten","S","New York",89,89,81,82,32,50
"1058",2018,3,"Village Walk A Carlisle Assisted Living Community","F","Suffolk",146,146,43,60,17,43
"1059",2018,3,"Walden Place","F","Cortland",86,86,63,66,20,46
"1060",2018,3,"Wavecrest Home for Adults","F","Queens",120,120,103,98,65,33
"1061",2018,3,"Westchester Center for Independent and Assisted Living","F","Westchester",195,195,195,193,86,107
"1062",2018,3,"Westminster Manor","E","Cayuga",37,37,24,25,4,21
"1063",2018,3,"West Seventy-Fourth Street Home","E","New York",95,94,89,90,43,47
"1064",2018,3,"West Side Federation For Sr. and Supportive Housing","E","New York",99,94,74,74,53,21
"1065",2018,3,"Westwood Commons Adult Home","E","Monroe",120,115,68,65,10,55
"1066",2018,3,"Wheatfield Commons","E","Niagara",114,114,63,64,18,46
"1067",2018,3,"Whisper Woods of Smithtown","F","Suffolk",136,136,0,50,20,30
"1068",2018,3,"White Plains Guest Home for Adults","E","Westchester",15,15,13,13,12,1
"1069",2018,3,"Whittier Place","E","Columbia",80,80,74,76,15,61
"1070",2018,3,"Willing Helpers Home for Women","E","Fulton",20,20,16,16,0,16
"1071",2018,3,"Willow Gardens","F","Westchester",51,46,44,44,12,32
"1072",2018,3,"Willow Towers EHP","S","Westchester",150,150,131,134,40,94
"1073",2018,3,"Wolk Manor Enriched Living Center","S","Monroe",85,85,83,81,19,62
"1074",2018,3,"Woodbrook","E","Chemung",80,75,66,72,20,52
"1075",2018,3,"Woodcrest Commons","E","Monroe",120,120,87,82,32,50
"1076",2018,3,"Woodhaven Home for Adults","F","Suffolk",181,181,167,170,69,101
"1077",2018,3,"Woodland Pond at New Paltz","S","Ulster",60,60,55,54,8,46
"1078",2018,3,"Woodlawn Commons","S","Saratoga",42,40,39,38,8,30
"1079",2018,3,"Woodside Hall, LLC","F","Otsego",37,28,16,16,6,10
"1080",2018,3,"Woodview Court","F","Westchester",40,40,23,21,6,15
"1081",2018,3,"Yorktown Assisted Living Residence","F","Westchester",85,85,65,67,10,57
"1082",2018,2,"Absolut at Orchard Brooke, LLC","F","Erie",80,80,77,79,22,57
"1083",2018,2,"Adirondack Manor HFA D.B.A Adirondack Manor HFA ALP","F","Warren",60,60,39,42,20,22
"1084",2018,2,"Adirondack Manor HFA D.B.A Montcalm Manor HFA","F","Essex",40,40,38,38,22,16
"1085",2018,2,"Adirondack Manor HFA D.B.A Scotia Mansion","F","Schenectady",49,49,37,36,19,17
"1086",2018,2,"Adirondack Manor HFA D.B.A. Willow Park HFA","F","Oneida",60,60,55,56,33,23
"1087",2018,2,"Adirondack Manor Home for Adults","F","Oneida",40,40,38,38,23,15
"1088",2018,2,"Ahana House","E","Saratoga",17,17,12,12,8,4
"1089",2018,2,"Alice Hyde Assisted Living Program","E","Franklin",30,30,30,28,5,23
"1090",2018,2,"Alma Rangel Gardens NY Foundation EHP#7","S","New York",42,41,42,41,17,24
"1091",2018,2,"Alpine Manor","F","Livingston",41,36,24,23,5,18
"1092",2018,2,"Amber Court of Brooklyn","F","Kings",224,216,214,213,138,75
"1093",2018,2,"Amber Court of Pelham Gardens","F","Bronx",200,200,200,192,95,97
"1094",2018,2,"Amber Court of Smithtown","F","Suffolk",186,186,59,116,23,93
"1095",2018,2,"Amber Court of Westbury","F","Nassau",225,225,177,171,31,140
"1096",2018,2,"Amber Court of Westbury","F","Nassau",64,64,49,44,9,35
"1097",2018,2,"Apple Gate Adult Home","F","Orleans",28,28,15,16,6,10
"1098",2018,2,"Arcadia Residence","F","Sullivan",114,114,61,59,39,20
"1099",2018,2,"Argyle Center For Independent Living","F","Washington",35,35,33,32,13,19
"1100",2018,2,"Arkell Hall","E","Montgomery",24,24,19,20,0,20
"1101",2018,2,"Ashton Place","S","Ontario",60,60,29,26,10,16
"1102",2018,2,"Assisted Living at Jennings Hall","S","Kings",40,22,21,21,9,12
"1103",2018,2,"Assisted Living at Northern Riverview","E","Rockland",105,105,102,102,39,63
"1104",2018,2,"Atria Bay Shore","S","Suffolk",116,94,70,69,10,59
"1105",2018,2,"Atria Briarcliff Manor","F","Westchester",200,200,75,79,15,64
"1106",2018,2,"Atria Crossgate","S","Albany",83,83,58,52,19,33
"1107",2018,2,"Atria Cutter Mill","S","Nassau",130,130,83,93,22,71
"1108",2018,2,"Atria Delmar Place","S","Albany",94,94,86,87,64,23
"1109",2018,2,"Atria East Northport","F","Suffolk",200,200,146,141,40,101
"1110",2018,2,"Atria Forest Hills","S","Queens",90,90,82,74,26,48
"1111",2018,2,"Atria Glen Cove","S","Nassau",128,128,69,74,24,50
"1112",2018,2,"Atria Greece","F","Monroe",79,79,63,61,8,53
"1113",2018,2,"Atria Guilderland","F","Albany",120,120,69,75,24,51
"1114",2018,2,"Atria Huntington","F","Suffolk",198,122,85,89,25,64
"1115",2018,2,"Atria Kew Gardens","S","Queens",175,175,127,124,41,83
"1116",2018,2,"Atria Lynbrook","F","Nassau",200,200,102,100,31,69
"1117",2018,2,"Atria on the Hudson","S","Westchester",185,185,129,122,32,90
"1118",2018,2,"Atria Park of Great Neck","S","Nassau",162,144,90,94,20,74
"1119",2018,2,"Atria Penfield","F","Monroe",120,120,78,90,32,58
"1120",2018,2,"Atria Plainview","F","Nassau",99,99,74,70,13,57
"1121",2018,2,"Atria Riverdale","S","Bronx",195,195,185,181,44,137
"1122",2018,2,"Atria Shaker","S","Albany",146,146,104,100,34,66
"1123",2018,2,"Atria South Setauket","F","Suffolk",200,200,72,80,26,54
"1124",2018,2,"Atria Tanglewood","F","Nassau",160,160,120,116,31,85
"1125",2018,2,"Atria West 86","S","New York",189,189,169,170,52,118
"1126",2018,2,"Babylon Beach House Home for Adults","F","Suffolk",67,41,41,42,10,32
"1127",2018,2,"Bayview Rest Home, LLC","F","Suffolk",75,75,74,71,48,23
"1128",2018,2,"Beacon Pointe Memory Care Community","F","Saratoga",52,52,49,44,15,29
"1129",2018,2,"Belle Harbor Manor","E","Queens",162,155,149,147,96,51
"1130",2018,2,"Bergquist Memorial Assisted Living Residence","E","Chautauqua",32,32,29,32,5,27
"1131",2018,2,"Bethany Village","E","Chemung",144,126,105,108,27,81
"1132",2018,2,"Bickford Country Home, LLC","F","Ontario",23,12,0,0,0,0
"1133",2018,2,"Bickford Home","F","Wayne",24,24,16,16,16,0
"1134",2018,2,"Bida Adult Home","F","Chenango",28,28,20,20,16,4
"1135",2018,2,"Birchwood Suites","F","Suffolk",95,95,71,69,29,40
"1136",2018,2,"Bishops Commons at St. Luke","S","Oswego",68,68,45,44,12,32
"1137",2018,2,"Blocher Homes","E","Erie",65,57,43,47,11,36
"1138",2018,2,"Boulevard ALP","S","Queens",239,239,217,226,85,141
"1139",2018,2,"Braemar Living at Medford","F","Suffolk",200,200,197,196,39,157
"1140",2018,2,"Braemar Living at Wallkill","F","Orange",200,200,182,177,51,126
"1141",2018,2,"Brandywine Assisted Living at The Savoy","S","Queens",160,160,143,142,46,96
"1142",2018,2,"Brandywine Senior Living at Huntington Terrace","F","Suffolk",54,54,37,36,8,28
"1143",2018,2,"Brandywine Senior Living at Huntington Terrace","S","Suffolk",110,88,48,53,16,37
"1144",2018,2,"Brentland Woods","S","Monroe",60,55,54,56,18,38
"1145",2018,2,"Brentwood Adult Home","F","Suffolk",30,30,30,30,26,4
"1146",2018,2,"Briarwood Manor, Inc.","F","Niagara",160,160,90,113,27,86
"1147",2018,2,"Bridges Cornell Heights - The Colonial","F","Tompkins",13,11,10,9,3,6
"1148",2018,2,"Bridges Cornell Heights - The Tudor","F","Tompkins",15,15,14,15,4,11
"1149",2018,2,"Brightview Tarrytown","F","Westchester",107,107,96,96,28,68
"1150",2018,2,"Bristol Home","E","Erie",55,54,42,43,0,43
"1151",2018,2,"Bristol Village, Inc.","S","Erie",110,110,80,89,22,67
"1152",2018,2,"Brompton Heights","F","Erie",200,200,115,108,25,83
"1153",2018,2,"Bronxwood","E","Bronx",320,320,280,278,187,91
"1154",2018,2,"Brookdale Bassett Park","F","Erie",80,80,37,32,12,20
"1155",2018,2,"Brookdale Bassett Road","F","Erie",105,105,46,43,13,30
"1156",2018,2,"Brookdale Bellevue","F","Onondaga",91,59,55,50,16,34
"1157",2018,2,"Brookdale Clinton","F","Oneida",40,40,40,40,9,31
"1158",2018,2,"Brookdale Colonie","F","Albany",94,94,78,62,22,40
"1159",2018,2,"Brookdale East Niskayuna","F","Schenectady",52,52,36,40,22,18
"1160",2018,2,"Brookdale East Side","F","Onondaga",88,79,52,49,10,39
"1161",2018,2,"Brookdale Fairport","F","Monroe",78,78,39,46,16,30
"1162",2018,2,"Brookdale Fayetteville","F","Onondaga",52,52,43,42,10,32
"1163",2018,2,"Brookdale Hospital Medical Center ALP","S","Kings",43,43,37,33,15,18
"1164",2018,2,"Brookdale Ithaca Assisted Living","S","Tompkins",53,53,47,47,12,35
"1165",2018,2,"Brookdale Ithaca Memory Care","F","Tompkins",36,36,31,30,8,22
"1166",2018,2,"Brookdale Kenmore","S","Erie",120,120,96,92,33,59
"1167",2018,2,"Brookdale Lakewood","S","Chautauqua",100,100,59,60,13,47
"1168",2018,2,"Brookdale Liverpool","F","Onondaga",79,79,44,44,15,29
"1169",2018,2,"Brookdale Manlius","S","Onondaga",86,86,53,47,15,32
"1170",2018,2,"Brookdale Niagara Assisted Living","S","Niagara",53,46,41,39,15,24
"1171",2018,2,"Brookdale Niagara Memory Care","F","Niagara",40,40,36,36,6,30
"1172",2018,2,"Brookdale Niskayuna","S","Schenectady",110,110,90,108,43,65
"1173",2018,2,"Brookdale Painted Post","F","Steuben",110,80,70,78,23,55
"1174",2018,2,"Brookdale Pittsford","F","Monroe",52,52,43,45,16,29
"1175",2018,2,"Brookdale Vestal East","F","Broome",116,66,41,38,9,29
"1176",2018,2,"Brookdale Vestal West","F","Broome",65,65,25,30,12,18
"1177",2018,2,"Brookdale West Side Rochester","F","Monroe",72,72,62,59,18,41
"1178",2018,2,"Brookdale Williamsville","F","Erie",52,52,31,28,11,17
"1179",2018,2,"Brooklyn Adult Care Center","F","Kings",210,210,202,200,156,44
"1180",2018,2,"Brooklyn Boulevard ALP","S","Kings",176,176,102,161,92,69
"1181",2018,2,"Brooklyn Terrace","F","Kings",200,200,195,200,152,48
"1182",2018,2,"Brothers of Mercy Sacred Heart Home","E","Erie",70,70,62,57,16,41
"1183",2018,2,"Buckley Landing Enriched Housing Site #6","S","Onondaga",85,85,82,80,12,68
"1184",2018,2,"Camillus Ridge Terrace","F","Onondaga",56,50,42,46,5,41
"1185",2018,2,"Camphill Ghent, Inc.","E","Columbia",31,31,31,31,9,22
"1186",2018,2,"Canterbury Woods","S","Erie",32,32,29,28,8,20
"1187",2018,2,"Canterbury Woods Gates Circle","S","Erie",5,5,1,2,1,1
"1188",2018,2,"Canton Enriched Housing Program, Inc. EHP #1","S","St.Lawrence",25,25,13,12,6,6
"1189",2018,2,"Canton Enriched Housing Program, Inc. EHP# 2","S","St.Lawrence",18,18,8,9,6,3
"1190",2018,2,"Carlucci Homes, Inc","F","Orange",23,23,22,21,0,21
"1191",2018,2,"Carnegie East House","S","New York",120,104,91,87,25,62
"1192",2018,2,"Castle Senior Living at Forest Hills","F","Queens",20,20,16,20,5,15
"1193",2018,2,"Castle Senior Living At Forest Hills","S","Queens",177,177,161,159,51,108
"1194",2018,2,"Cedarbrook Village, Incorporated","S","Oneida",65,65,44,50,13,37
"1195",2018,2,"Cedarwood Senior Living","F","Cortland",36,36,29,27,20,7
"1196",2018,2,"Central Assisted Living, LLC","F","Queens",186,186,183,186,109,77
"1197",2018,2,"Champlain Valley Senior Community","F","Essex",81,81,51,58,19,39
"1198",2018,2,"Chenango County Home Preston Manor","N","Chenango",48,48,36,31,12,19
"1199",2018,2,"Chenango Valley Home","E","Chenango",32,32,28,29,3,26
"1200",2018,2,"Chester Hill Adult Home","F","Westchester",21,21,20,19,18,1
"1201",2018,2,"Christian Fellowship House","E","Nassau",45,45,43,44,9,35
"1202",2018,2,"Claddagh Care (L.B.S.H.) EHP #1","S","St.Lawrence",28,28,20,19,7,12
"1203",2018,2,"Clara Welch Thanksgiving Home","E","Otsego",26,26,20,19,6,13
"1204",2018,2,"Clark Meadows at Ferris Hills","S","Ontario",54,54,47,48,13,35
"1205",2018,2,"Clinton Crest Manor","E","Yates",42,40,37,39,8,31
"1206",2018,2,"Cloverhill Adult Home","F","Orleans",44,44,27,28,8,20
"1207",2018,2,"Cobbs Hill Manor","F","Monroe",118,118,82,81,47,34
"1208",2018,2,"Cohocton Valley Home for Adults","F","Steuben",10,10,9,10,10,0
"1209",2018,2,"Cook Adult Home","F","Saratoga",13,13,8,7,4,3
"1210",2018,2,"Countryside Adult Home","N","Warren",48,48,32,31,11,20
"1211",2018,2,"Country Valley Home","F","Steuben",19,19,13,12,4,8
"1212",2018,2,"Crestview Manor ALP","F","Westchester",76,76,73,74,36,38
"1213",2018,2,"Crimson Ridge Gardens","F","Monroe",52,52,48,44,11,33
"1214",2018,2,"Crimson Ridge Meadows","F","Monroe",52,52,39,44,14,30
"1215",2018,2,"Crossroads","E","Onondaga",59,46,40,40,40,0
"1216",2018,2,"Crystal House Manor","F","Dutchess",39,39,39,39,39,0
"1217",2018,2,"Culinarians Home Foundation","E","Ulster",18,12,9,10,1,9
"1218",2018,2,"Cumberland Gardens NY Foundation EHP #6","S","Kings",47,47,47,46,16,30
"1219",2018,2,"Danforth Adult Care Center","F","Rensselaer",80,80,71,76,22,54
"1220",2018,2,"Danish Home for the Aged","E","Westchester",24,21,21,20,5,15
"1221",2018,2,"Dawn Hill Adult Home","F","Suffolk",30,30,27,26,25,1
"1222",2018,2,"Dominican Village Enriched Housing Program 1","S","Suffolk",66,66,64,61,20,41
"1223",2018,2,"Dosberg Manor","E","Erie",96,96,78,74,19,55
"1224",2018,2,"Dutchess Care","F","Dutchess",92,92,90,85,51,34
"1225",2018,2,"East Road Adult Home","F","Lewis",20,20,15,15,5,10
"1226",2018,2,"Echo Arms Adult Home","F","Suffolk",49,49,48,49,32,17
"1227",2018,2,"Eden Heights","F","Erie",120,120,76,83,26,57
"1228",2018,2,"Eden Heights of Olean","F","Cattaraugus",120,94,81,85,20,65
"1229",2018,2,"Eden Heights of West Seneca","F","Erie",120,120,95,103,29,74
"1230",2018,2,"Eger Harbor House, Inc.","S","Richmond",75,75,71,73,15,58
"1231",2018,2,"Elderwood Assisted Living at Cheektowaga","F","Erie",80,80,75,74,14,60
"1232",2018,2,"Elderwood Assisted Living at Hamburg","S","Erie",103,103,91,96,12,84
"1233",2018,2,"Elderwood Assisted Living at Tonawanda","F","Erie",120,120,92,88,13,75
"1234",2018,2,"Elderwood Assisted Living at Waverly","S","Tioga",40,40,31,28,4,24
"1235",2018,2,"Elderwood Assisted Living at West Seneca","S","Erie",128,128,100,108,20,88
"1236",2018,2,"Elderwood Assisted Living at Wheatfield","F","Niagara",65,65,56,58,8,50
"1237",2018,2,"Elderwood Village at Ticonderoga","F","Essex",23,23,7,7,3,4
"1238",2018,2,"Elderwood Village at Willamsville","S","Erie",110,110,84,88,19,69
"1239",2018,2,"Elizabeth Brewster House","E","Cortland",45,45,35,33,9,24
"1240",2018,2,"Elmore Home for Adults","F","Suffolk",22,22,22,22,16,6
"1241",2018,2,"Elm York Home for Adults","F","Queens",262,262,252,254,130,124
"1242",2018,2,"Emeritus at the Landing of Brockport","S","Monroe",114,99,86,85,25,60
"1243",2018,2,"Emeritus at the Landing of Queensbury","S","Warren",88,88,58,55,18,37
"1244",2018,2,"E.R.I.E.  EHP #1 Toomey Abbott Tower","S","Onondaga",95,95,58,66,38,28
"1245",2018,2,"Evergreen Court Home for Adults SP, LLC","F","Rockland",200,200,121,119,64,55
"1246",2018,2,"Evergreen Heights","E","Cayuga",60,60,53,52,35,17
"1247",2018,2,"Faatz-Crofut Home for the Elderly","E","Cayuga",53,53,41,37,8,29
"1248",2018,2,"Fairlawn Adult Home, Inc.","F","Suffolk",30,30,30,30,21,9
"1249",2018,2,"Fairport Baptist Homes Adult Care Facility","E","Monroe",42,42,32,33,6,27
"1250",2018,2,"Family Srvs/Rochester EHP1 Danforth Towers East","S","Monroe",28,28,23,26,16,10
"1251",2018,2,"Family Srvs/Rochester EHP2 Jonathan Child Project","S","Monroe",30,30,27,29,16,13
"1252",2018,2,"Family Srvs/Rochester EHP3 Hudson-Ridge Towers","S","Monroe",47,47,40,43,24,19
"1253",2018,2,"Fawn Ridge Senior Living","F","Rensselaer",155,155,71,66,47,19
"1254",2018,2,"Five Star Premier Residences of Yonkers","F","Westchester",40,40,33,33,7,26
"1255",2018,2,"Five Star Premier Residences of Yonkers","S","Westchester",84,84,74,75,20,55
"1256",2018,2,"Focus Senior Living at Utica","S","Oneida",110,110,86,92,61,31
"1257",2018,2,"Foltsbrook Center for Senior Living","E","Herkimer",80,80,62,63,16,47
"1258",2018,2,"Fox Run at Orchard Park","S","Erie",54,54,49,46,10,36
"1259",2018,2,"Frederic Fleming Residence","E","New York",47,47,46,47,19,28
"1260",2018,2,"Fredonia Place","S","Chautauqua",84,84,78,77,35,42
"1261",2018,2,"Frewsburg Rest Home","F","Chautauqua",81,73,52,56,23,33
"1262",2018,2,"Gables Home for Adults","F","Suffolk",24,0,0,0,0,0
"1263",2018,2,"Gallagher Home","F","Putnam",16,16,9,9,2,7
"1264",2018,2,"Garden House","S","Erie",48,48,48,47,5,42
"1265",2018,2,"Garden House For Adults","F","Broome",24,24,17,18,2,16
"1266",2018,2,"Garden of Eden Assisted Living Program","F","Kings",201,201,175,178,109,69
"1267",2018,2,"Garnerville Home","F","Rockland",39,39,31,33,25,8
"1268",2018,2,"Genesee Adult Home","F","Genesee",80,80,70,67,25,42
"1269",2018,2,"Glen Arden, Inc.","S","Orange",28,28,24,20,1,19
"1270",2018,2,"Glenmere at Cloverwood","S","Monroe",77,77,54,55,13,42
"1271",2018,2,"Glenwell","E","Erie",120,120,94,91,32,59
"1272",2018,2,"Good Shepherd- Fairview Home, Inc.","E","Broome",67,67,63,67,13,54
"1273",2018,2,"Good Shepherd Village at Endwell","E","Broome",32,32,31,31,8,23
"1274",2018,2,"GrandeVie Senior Living Community","F","Monroe",178,178,84,87,27,60
"1275",2018,2,"Grande?ville Senior Living Community","F","Monroe",140,130,107,105,32,73
"1276",2018,2,"Greece Long Pond Senior Housing","S","Monroe",30,30,28,27,7,20
"1277",2018,2,"Green Briar Adult Home","F","Dutchess",53,53,47,53,32,21
"1278",2018,2,"Greenfield Court","S","Erie",57,52,47,50,16,34
"1279",2018,2,"GreenField Terrace","E","Erie",56,56,44,45,10,35
"1280",2018,2,"Green Hills Estate","F","Rockland",164,164,97,110,74,36
"1281",2018,2,"Gurwin Jewish Fay J. Lindner Residence","E","Suffolk",65,65,54,52,12,40
"1282",2018,2,"Gurwin Jewish Fay J. Lindner Residence","S","Suffolk",200,200,157,157,43,114
"1283",2018,2,"Hamilton Manor Home for Adults","F","Madison",38,38,10,9,4,5
"1284",2018,2,"Hampshire House Adult Home","F","Otsego",65,65,49,48,19,29
"1285",2018,2,"Harbor House","F","Nassau",136,136,110,102,39,63
"1286",2018,2,"Harbor Terrace Adult Home and Assisted Living","F","Richmond",363,363,279,274,175,99
"1287",2018,2,"Harbor View Home for Adults","F","Kings",162,162,83,83,37,46
"1288",2018,2,"Hawthorne Ridge, Inc.","E","Rensselaer",66,66,56,58,18,40
"1289",2018,2,"Heather Heights of Pittsford","F","Monroe",120,120,87,85,26,59
"1290",2018,2,"Heathwood Assisted Living at Penfield","S","Monroe",151,132,110,113,27,86
"1291",2018,2,"Heathwood Assisted Living at Williamsville","F","Erie",115,115,99,104,21,83
"1292",2018,2,"Hedgewood ALP, LLC","F","Dutchess",192,192,188,190,123,67
"1293",2018,2,"Helen Keller National Center","E","Nassau",52,32,25,23,12,11
"1294",2018,2,"Heritage at the Plains at Parish Homestead","F","Otsego",53,53,42,38,5,33
"1295",2018,2,"Heritage Home for Women","E","Schenectady",36,36,31,34,0,34
"1296",2018,2,"Heritage Manor of Lockport","F","Niagara",64,44,34,40,7,33
"1297",2018,2,"Heritage Manor of Ransomville Assisted Living Program","F","Niagara",142,142,113,115,71,44
"1298",2018,2,"Hidden Gem Home for Adults","F","Suffolk",18,18,17,18,5,13
"1299",2018,2,"Hillcrest Spring Residential","F","Montgomery",80,80,77,73,17,56
"1300",2018,2,"Hilltop Manor West","E","Broome",98,98,88,91,14,77
"1301",2018,2,"Hilton East Assisted Living","F","Monroe",205,178,131,135,43,92
"1302",2018,2,"Holbrook Adult Home","F","Washington",33,29,27,29,5,24
"1303",2018,2,"Home of the Good Shepherd","E","Saratoga",42,42,31,36,13,23
"1304",2018,2,"Home of the Good Shepherd at Highpointe","E","Saratoga",86,86,81,81,16,65
"1305",2018,2,"Home of the Good Shepherd Moreau","E","Saratoga",72,72,66,64,15,49
"1306",2018,2,"Home of the Good Shepherd Saratoga","E","Saratoga",105,105,91,92,20,72
"1307",2018,2,"Home of the Good Shepherd Wilton","E","Saratoga",54,54,42,48,13,35
"1308",2018,2,"Home Sweet Home of Athens, Inc.","F","Greene",24,24,22,23,9,14
"1309",2018,2,"Home Sweet Home on the Hudson","F","Greene",60,50,44,46,12,34
"1310",2018,2,"Horizons","E","Ontario",76,76,54,51,12,39
"1311",2018,2,"Hudson Valley Senior Residence","E","Ulster",48,48,21,24,7,17
"1312",2018,2,"Hultquist Place","E","Chautauqua",96,96,84,90,20,70
"1313",2018,2,"Hyde Park Assisted Living Facility, Inc.","F","Dutchess",78,78,65,70,30,40
"1314",2018,2,"Ideal Senior Living Center","E","Broome",70,70,63,69,18,51
"1315",2018,2,"Ingersoll Place","E","Schenectady",78,78,63,63,18,45
"1316",2018,2,"Island Assisted Living","E","Nassau",200,200,190,197,84,113
"1317",2018,2,"Ivy Lodge","F","Ulster",40,40,31,31,8,23
"1318",2018,2,"Jeffersonville Senior Living","F","Sullivan",49,49,49,49,28,21
"1319",2018,2,"Jeff Senior Living","F","Sullivan",11,11,11,11,11,0
"1320",2018,2,"Judson Meadows","S","Schenectady",80,80,68,71,16,55
"1321",2018,2,"Juniper Glen Alzheimers Special Care Center","F","Erie",66,66,24,31,13,18
"1322",2018,2,"Kalets Adult Home","F","Onondaga",45,45,43,43,29,14
"1323",2018,2,"Keene Valley Neighborhood House","E","Essex",50,50,45,46,10,36
"1324",2018,2,"Keepsake Village at Greenpoint","F","Onondaga",57,55,53,54,21,33
"1325",2018,2,"Kendal at Ithaca","E","Tompkins",36,36,32,32,8,24
"1326",2018,2,"Kendal on Hudson","S","Westchester",47,47,34,32,7,25
"1327",2018,2,"Ken-Ton Presbyterian Village EHP","S","Erie",49,49,43,44,10,34
"1328",2018,2,"Kenwood Manor","E","Albany",67,67,48,46,20,26
"1329",2018,2,"Kings Adult Care Center","F","Kings",220,220,208,203,129,74
"1330",2018,2,"Kingsway Manor, LLC","F","Schenectady",140,140,115,122,35,87
"1331",2018,2,"Ladies Home of Oswego","E","Oswego",21,21,13,13,0,13
"1332",2018,2,"Lakeside Manor Home for Adults, Inc.","F","Richmond",200,200,191,182,133,49
"1333",2018,2,"Laurelwood at the Highlands","S","Monroe",68,68,58,53,10,43
"1334",2018,2,"LDor","F","Rockland",44,44,44,44,32,12
"1335",2018,2,"Legacy at Cranberry Landing","F","Monroe",78,78,49,46,12,34
"1336",2018,2,"Legacy at Maiden Park","F","Monroe",98,98,42,44,12,32
"1337",2018,2,"Leroy Manor","F","Genesee",79,79,78,71,40,31
"1338",2018,2,"Lincoln Rest Home","F","Westchester",23,23,21,21,17,4
"1339",2018,2,"Lockport Presbyterian Home","E","Niagara",60,60,36,36,11,25
"1340",2018,2,"Long Beach Assisted Living","F","Nassau",200,200,199,197,126,71
"1341",2018,2,"Long Island Living Center","F","Queens",306,170,160,168,73,95
"1342",2018,2,"Longview, an Ithacare Community","E","Tompkins",96,96,81,84,27,57
"1343",2018,2,"Loretto EHP #1 Bernardine Apartments","S","Onondaga",148,148,123,120,47,73
"1344",2018,2,"Loretto EHP #3 Nottingham","S","Onondaga",64,48,46,46,16,30
"1345",2018,2,"Loretto Village Apts. Enriched Housing Site #5","S","Onondaga",79,79,75,77,19,58
"1346",2018,2,"Lott Assisted Living Residence","S","New York",131,127,126,126,51,75
"1347",2018,2,"Loudonville Assisted Living Residence","F","Albany",105,105,83,85,17,68
"1348",2018,2,"Lutheran Home of Central New York","E","Oneida",68,68,49,47,12,35
"1349",2018,2,"Madison York Assisted Living Community, LLC","F","Queens",226,226,216,215,123,92
"1350",2018,2,"Madison York Home for Adults","F","Queens",202,202,193,188,112,76
"1351",2018,2,"Manlius Home for Adults","F","Onondaga",39,39,29,26,8,18
"1352",2018,2,"Manor Haven Adult Home, Inc.","F","Suffolk",32,32,32,31,19,12
"1353",2018,2,"Manor Hills","F","Allegany",137,137,105,108,32,76
"1354",2018,2,"Maple House","S","Westchester",25,25,14,14,7,7
"1355",2018,2,"Maple Rest","F","Suffolk",27,27,27,27,19,8
"1356",2018,2,"Maplewood Assisted Living","E","St.Lawrence",48,48,45,44,6,38
"1357",2018,2,"Maplewood Commons","S","Westchester",80,50,46,45,18,27
"1358",2018,2,"Marchand Manor","F","Schoharie",36,36,29,28,13,15
"1359",2018,2,"Marian Woods","E","Westchester",50,50,46,46,0,46
"1360",2018,2,"Mariners Residence, Inc.","F","Richmond",270,270,210,211,126,85
"1361",2018,2,"Marjorie Doyle Rockwell Center","E","Albany",52,52,49,51,10,41
"1362",2018,2,"Mary Agnes Manor ALP","F","Erie",230,230,178,187,94,93
"1363",2018,2,"Maryville Assisted Living","F","Suffolk",32,32,30,28,7,21
"1364",2018,2,"Maryville Home For Adults","F","Steuben",14,14,13,13,3,10
"1365",2018,2,"Masonic Home","E","Oneida",96,80,57,57,24,33
"1366",2018,2,"Massry Residence at Daughters of Sarah","S","Albany",70,70,58,57,13,44
"1367",2018,2,"McHarrie Pointe","E","Onondaga",47,47,41,38,8,30
"1368",2018,2,"McPeaks Adult Home","F","Suffolk",51,48,43,46,12,34
"1369",2018,2,"Meadowbrook Terrace Assisted Living Facility","E","Jefferson",60,60,56,51,13,38
"1370",2018,2,"Meadowview at the Wartburg","S","Westchester",105,105,99,100,13,87
"1371",2018,2,"Memory Garden","F","Chautauqua",56,56,56,55,20,35
"1372",2018,2,"Mermaid Manor Home for Adults","F","Kings",200,200,193,191,127,64
"1373",2018,2,"Metro Interfaith EHP","S","Broome",37,37,31,28,11,17
"1374",2018,2,"Metro Interfaith Housing","S","Broome",11,11,3,3,2,1
"1375",2018,2,"Middleville Rest Home","F","Herkimer",24,24,23,23,11,12
"1376",2018,2,"Millview of Latham, LLC","F","Albany",55,55,43,42,11,31
"1377",2018,2,"Missionary Sisters of St. Benedict","E","Suffolk",60,43,43,41,2,39
"1378",2018,2,"Moffat Gardens ALP, Inc.","S","Kings",30,30,26,24,6,18
"1379",2018,2,"Mohawk Homestead","E","Herkimer",41,41,24,23,8,15
